iter	MultiClass
0	0.9692667946
1	0.87304957
2	0.8049235885
3	0.7503283372
4	0.7080834625
5	0.6734203335
6	0.6441120077
7	0.6208711113
8	0.6012921354
9	0.5847732517
10	0.5695193567
11	0.556860874
12	0.5451628831
13	0.5354470973
14	0.5260832743
15	0.5189951046
16	0.5131671903
17	0.5064114927
18	0.5013325672
19	0.4951621248
20	0.4905303938
21	0.4866627525
22	0.4829573801
23	0.479327247
24	0.4759838606
25	0.4731605462
26	0.4697576376
27	0.4669338785
28	0.4642769201
29	0.4614829507
30	0.4591738222
31	0.457563741
32	0.4548968898
33	0.4529665426
34	0.451383309
35	0.4491689515
36	0.4471914276
37	0.4458330635
38	0.4442597332
39	0.4431632794
40	0.4412894042
41	0.4401598225
42	0.4393477669
43	0.4385271577
44	0.4372128442
45	0.4359146405
46	0.4351478763
47	0.4339679589
48	0.4331317067
49	0.4323113108
50	0.4308061054
51	0.4293864954
52	0.4281780562
53	0.4271097387
54	0.4266193045
55	0.4258346342
56	0.4247739308
57	0.4238231517
58	0.4227633077
59	0.421872089
60	0.4209287056
61	0.4201647952
62	0.4192247584
63	0.4182480696
64	0.4172999244
65	0.4163523716
66	0.4152971631
67	0.4142582882
68	0.4124748775
69	0.4117157454
70	0.4105917904
71	0.4097901262
72	0.4094573408
73	0.4084680504
74	0.4075632165
75	0.4065417968
76	0.4054771073
77	0.4041591303
78	0.4030705441
79	0.402243373
80	0.4013792363
81	0.3995183366
82	0.398145763
83	0.396518609
84	0.3950556478
85	0.3938981527
86	0.3933116352
87	0.3921627963
88	0.3908809972
89	0.3898873723
90	0.3887405407
91	0.3875690208
92	0.386358184
93	0.3857601287
94	0.3847519289
95	0.3837415319
96	0.3826288556
97	0.3814927273
98	0.3802525597
99	0.3788729298
100	0.3777168808
101	0.3767700854
102	0.3755814875
103	0.3746594139
104	0.3735359103
105	0.3725588409
106	0.371525295
107	0.3704861051
108	0.3693185985
109	0.3687291458
110	0.3674204848
111	0.3665938343
112	0.3656581249
113	0.3642484754
114	0.3634233972
115	0.3624683784
116	0.3613454431
117	0.3600806264
118	0.3590988908
119	0.3585502631
120	0.3577033368
121	0.3567772389
122	0.3556670698
123	0.3548753519
124	0.3537725643
125	0.3527658273
126	0.3519505493
127	0.351183655
128	0.3502925785
129	0.3495738764
130	0.3490344613
131	0.3484560001
132	0.3477049844
133	0.3468985983
134	0.3462038851
135	0.3455766586
136	0.3448956709
137	0.343595952
138	0.3426224723
139	0.3418121158
140	0.3410208421
141	0.3402028733
142	0.3391272226
143	0.3385667648
144	0.3379432125
145	0.3373927061
146	0.3363577812
147	0.3356522416
148	0.334378259
149	0.3334405803
150	0.3326781096
151	0.3317490616
152	0.3310573924
153	0.3303144642
154	0.329623337
155	0.3287869781
156	0.3281538684
157	0.3271504248
158	0.3264960331
159	0.3256991673
160	0.3248699439
161	0.3243092098
162	0.3235283305
163	0.3228142976
164	0.3221520779
165	0.321370949
166	0.3201812219
167	0.3197166491
168	0.3189501395
169	0.3180486746
170	0.3174102288
171	0.3166034969
172	0.3156145991
173	0.3151286285
174	0.3143594236
175	0.3136958974
176	0.3131160846
177	0.3122703987
178	0.3115955244
179	0.31084976
180	0.3102528059
181	0.3094866473
182	0.3087247392
183	0.3079574918
184	0.3070157461
185	0.3063375566
186	0.3057266764
187	0.3050390326
188	0.3045366777
189	0.3039169397
190	0.3033637347
191	0.3028568349
192	0.3020378587
193	0.3014121205
194	0.3007395101
195	0.3000733501
196	0.2996043489
197	0.2989259776
198	0.2984827359
199	0.2975454659
200	0.2969642636
201	0.2962567031
202	0.2957049586
203	0.2952139714
204	0.2946546678
205	0.2940169923
206	0.2934024617
207	0.2928186099
208	0.292234042
209	0.2914916516
210	0.2907816346
211	0.2899943285
212	0.2893374193
213	0.2889295977
214	0.2880624886
215	0.2871218758
216	0.2865654799
217	0.2859353779
218	0.2852667069
219	0.2846681292
220	0.2841266771
221	0.283589525
222	0.2829033951
223	0.2825883441
224	0.2822425017
225	0.2815699
226	0.2810490104
227	0.2807450264
228	0.2800679505
229	0.2793989169
230	0.2789618217
231	0.2783651899
232	0.2777032516
233	0.2772235418
234	0.2766322866
235	0.2761739733
236	0.2756338709
237	0.2749822619
238	0.2743746618
239	0.2737385937
240	0.2733063102
241	0.2726867662
242	0.2720705915
243	0.2715262823
244	0.2708862327
245	0.2703579992
246	0.2698113043
247	0.268998593
248	0.2685428211
249	0.267988637
250	0.2673237163
251	0.2667441395
252	0.2662120801
253	0.2658400458
254	0.2652521424
255	0.2648801042
256	0.2645745007
257	0.263987379
258	0.2633644032
259	0.2627361947
260	0.2621897249
261	0.2616201581
262	0.2612580121
263	0.2607059122
264	0.2600511411
265	0.2591938344
266	0.2588233616
267	0.2583092502
268	0.2578896271
269	0.2572875987
270	0.2566290933
271	0.2559655291
272	0.2555229313
273	0.2550325252
274	0.2544044722
275	0.2539531718
276	0.2533171905
277	0.25295429
278	0.2524426372
279	0.2518057489
280	0.2512719621
281	0.2508088649
282	0.2503663404
283	0.249835902
284	0.2492066977
285	0.2488504498
286	0.2484746358
287	0.2479478098
288	0.2474912634
289	0.2470772765
290	0.2466144071
291	0.2461467341
292	0.2456886679
293	0.2449984533
294	0.2444453683
295	0.2440330103
296	0.243713652
297	0.2430829473
298	0.2426145538
299	0.2420939393
300	0.2418092017
301	0.2414216917
302	0.240997011
303	0.2403879799
304	0.239880852
305	0.2393528469
306	0.23885635
307	0.2384725898
308	0.2379684146
309	0.2375176479
310	0.2371441047
311	0.2367645191
312	0.2365342867
313	0.2360241712
314	0.2356054048
315	0.2350834982
316	0.2346520206
317	0.2341847902
318	0.233884883
319	0.2333274198
320	0.2330865929
321	0.2327171032
322	0.2322048552
323	0.2317933927
324	0.2315331696
325	0.2311646061
326	0.2306604533
327	0.2301300371
328	0.2296347158
329	0.2291593221
330	0.228584283
331	0.2282809621
332	0.2277554759
333	0.2271642831
334	0.2269014236
335	0.2265246259
336	0.225862987
337	0.2254919543
338	0.2249724822
339	0.2245526683
340	0.2241393137
341	0.2237604093
342	0.2235418801
343	0.2232537115
344	0.2227553511
345	0.2223867121
346	0.2218695181
347	0.221439271
348	0.2209582415
349	0.2205483873
