iter	Passed	Remaining
0	9	4358
1	18	4400
2	29	4549
3	40	4696
4	52	4842
5	61	4722
6	69	4572
7	78	4540
8	87	4459
9	95	4367
10	103	4325
11	112	4266
12	119	4186
13	126	4110
14	133	4029
15	140	3964
16	146	3887
17	153	3851
18	160	3801
19	167	3756
20	174	3722
21	181	3679
22	187	3642
23	195	3624
24	202	3599
25	209	3566
26	216	3544
27	223	3519
28	230	3494
29	236	3459
30	242	3420
31	246	3369
32	253	3348
33	258	3310
34	265	3290
35	271	3263
36	277	3241
37	283	3216
38	289	3192
39	295	3165
40	300	3137
41	307	3122
42	313	3107
43	318	3077
44	324	3055
45	330	3036
46	335	3016
47	341	2995
48	347	2978
49	352	2956
50	358	2939
51	365	2931
52	371	2912
53	376	2890
54	380	2866
55	385	2844
56	391	2828
57	396	2808
58	401	2790
59	406	2771
60	411	2754
61	416	2736
62	422	2722
63	427	2707
64	432	2691
65	438	2674
66	443	2661
67	448	2647
68	455	2638
69	459	2621
70	465	2608
71	470	2596
72	475	2581
73	481	2568
74	485	2552
75	491	2544
76	497	2531
77	503	2523
78	508	2509
79	513	2497
80	518	2486
81	525	2479
82	530	2468
83	537	2462
84	542	2452
85	548	2443
86	553	2429
87	558	2417
88	564	2411
89	570	2402
90	575	2392
91	581	2383
92	586	2371
93	592	2361
94	597	2352
95	603	2344
96	609	2339
97	616	2332
98	621	2324
99	627	2317
100	634	2311
101	640	2305
102	647	2299
103	652	2291
104	658	2283
105	665	2280
106	671	2272
107	677	2264
108	682	2255
109	688	2246
110	695	2241
111	700	2233
112	705	2223
113	711	2216
114	717	2209
115	724	2203
116	729	2194
117	735	2187
118	740	2178
119	746	2171
120	752	2164
121	757	2155
122	763	2148
123	769	2140
124	775	2134
125	781	2128
126	787	2120
127	794	2116
128	800	2109
129	805	2101
130	810	2091
131	815	2082
132	821	2074
133	826	2066
134	831	2056
135	836	2047
136	841	2038
137	847	2033
138	853	2025
139	858	2016
140	863	2009
141	868	2001
142	874	1994
143	879	1985
144	884	1977
145	889	1968
146	895	1962
147	901	1954
148	906	1947
149	912	1939
150	917	1932
151	923	1925
152	928	1917
153	933	1909
154	938	1902
155	944	1894
156	949	1887
157	955	1881
158	960	1873
159	966	1866
160	972	1859
161	977	1851
162	982	1843
163	987	1836
164	992	1828
165	998	1822
166	1004	1816
167	1010	1809
168	1014	1801
169	1020	1795
170	1026	1788
171	1032	1782
172	1038	1776
173	1043	1768
174	1048	1761
175	1053	1753
176	1058	1746
177	1064	1740
178	1069	1732
179	1075	1726
180	1080	1719
181	1085	1712
182	1091	1705
183	1096	1697
184	1101	1690
185	1106	1683
186	1111	1676
187	1116	1669
188	1122	1662
189	1127	1655
190	1133	1649
191	1138	1642
192	1144	1636
193	1149	1630
194	1155	1622
195	1160	1615
196	1165	1608
197	1170	1602
198	1175	1595
199	1181	1589
200	1187	1582
201	1192	1576
202	1198	1569
203	1203	1563
204	1209	1557
205	1214	1550
206	1220	1544
207	1225	1537
208	1230	1530
209	1236	1524
210	1241	1518
211	1246	1511
212	1252	1505
213	1257	1498
214	1263	1492
215	1269	1487
216	1275	1481
217	1281	1474
218	1285	1467
219	1291	1461
220	1296	1455
221	1302	1448
222	1308	1442
223	1313	1436
224	1319	1431
225	1324	1424
226	1330	1418
227	1335	1411
228	1340	1405
229	1345	1398
230	1351	1392
231	1356	1385
232	1362	1379
233	1367	1373
234	1372	1366
235	1377	1359
236	1382	1353
237	1387	1346
238	1393	1340
239	1398	1334
240	1403	1327
241	1408	1321
242	1415	1316
243	1420	1310
244	1425	1303
245	1431	1297
246	1436	1291
247	1442	1285
248	1448	1279
249	1453	1273
250	1458	1266
251	1464	1260
252	1469	1254
253	1474	1247
254	1480	1242
255	1485	1235
256	1489	1229
257	1495	1223
258	1500	1217
259	1506	1210
260	1510	1204
261	1516	1197
262	1521	1191
263	1526	1185
264	1532	1179
265	1538	1174
266	1543	1167
267	1547	1160
268	1553	1154
269	1559	1149
270	1564	1143
271	1570	1137
272	1575	1131
273	1580	1124
274	1586	1119
275	1590	1112
276	1595	1105
277	1600	1099
278	1605	1093
279	1611	1087
280	1616	1081
281	1622	1075
282	1627	1069
283	1633	1064
284	1640	1058
285	1645	1053
286	1651	1047
287	1657	1041
288	1662	1035
289	1667	1029
290	1672	1022
291	1677	1016
292	1682	1010
293	1687	1004
294	1692	998
295	1697	992
296	1702	986
297	1708	980
298	1714	974
299	1719	968
300	1724	962
301	1729	956
302	1735	950
303	1741	945
304	1746	939
305	1752	933
306	1758	927
307	1763	921
308	1768	915
309	1774	910
310	1780	904
311	1786	898
312	1791	892
313	1797	887
314	1802	881
315	1808	875
316	1813	869
317	1819	863
318	1823	857
319	1829	851
320	1833	845
321	1839	839
322	1845	834
323	1850	828
324	1856	822
325	1862	816
326	1867	810
327	1873	805
328	1879	799
329	1885	794
330	1892	788
331	1897	783
332	1903	777
333	1908	771
334	1913	765
335	1917	759
336	1923	753
337	1927	747
338	1933	741
339	1938	735
340	1943	729
341	1949	723
342	1954	718
343	1959	711
344	1964	705
345	1969	700
346	1974	694
347	1979	688
348	1985	682
349	1990	676
350	1996	671
351	2000	665
352	2005	659
353	2011	653
354	2016	647
355	2022	641
356	2027	636
357	2033	630
358	2038	624
359	2043	618
360	2047	612
361	2052	606
362	2058	601
363	2062	595
364	2067	589
365	2072	583
366	2077	577
367	2083	571
368	2088	566
369	2093	560
370	2099	554
371	2105	548
372	2110	543
373	2116	537
374	2121	531
375	2127	526
376	2132	520
377	2138	514
378	2143	508
379	2148	503
380	2153	497
381	2158	491
382	2164	485
383	2168	480
384	2173	474
385	2179	468
386	2184	462
387	2190	457
388	2195	451
389	2200	445
390	2206	440
391	2212	434
392	2217	428
393	2222	423
394	2228	417
395	2233	411
396	2239	406
397	2244	400
398	2249	394
399	2255	389
400	2260	383
401	2266	377
402	2271	372
403	2277	366
404	2283	360
405	2291	355
406	2298	350
407	2303	344
408	2309	338
409	2315	333
410	2321	327
411	2326	321
412	2331	316
413	2336	310
414	2342	304
415	2348	299
416	2354	293
417	2359	287
418	2365	282
419	2371	276
420	2376	270
421	2382	265
422	2387	259
423	2393	253
424	2398	248
425	2403	242
426	2408	236
427	2413	231
428	2418	225
429	2423	219
430	2428	214
431	2433	208
432	2439	202
433	2444	197
434	2451	191
435	2456	185
436	2462	180
437	2467	174
438	2472	168
439	2478	163
440	2484	157
441	2489	152
442	2494	146
443	2500	140
444	2505	135
445	2510	129
446	2516	123
447	2521	118
448	2525	112
449	2531	106
450	2536	101
451	2541	95
452	2547	89
453	2552	84
454	2557	78
455	2563	73
456	2568	67
457	2573	61
458	2579	56
459	2583	50
460	2589	44
461	2594	39
462	2600	33
463	2605	28
464	2611	22
465	2616	16
466	2620	11
467	2625	5
468	2631	0
